Order ID,Date,Product Name,Category,Region,Units Sold, Unit Price , Revenue , Cost , Profit ,Profit Margin
ORD1000,20-01-2025,Monitor,Accessories,Central,5," ? 3,476.00 "," ? 17,380.00 "," ? 10,519.21 "," ? 6,860.79 ",39.48
ORD1001,14-09-2023,Laptop,Accessories,South,3," ? 1,530.00 "," ? 4,590.00 "," ? 3,458.73 "," ? 1,131.27 ",24.65
ORD1002,24-08-2025,Tablet,Accessories,West,13," ? 4,078.00 "," ? 53,014.00 "," ? 33,218.15 "," ? 19,795.85 ",37.34
ORD1003,06-05-2024,Printer,Accessories,West,9," ? 1,976.00 "," ? 17,784.00 "," ? 13,873.04 "," ? 3,910.96 ",21.99
ORD1004,05-10-2024,Monitor,Electronics,South,10," ? 2,886.00 "," ? 28,860.00 "," ? 19,478.78 "," ? 9,381.22 ",32.51
ORD1005,26-01-2025,Headphones,Accessories,East,18," ? 4,037.00 "," ? 72,666.00 "," ? 65,377.10 "," ? 7,288.90 ",10.03
ORD1006,16-01-2025,Headphones,Electronics,North,15," ? 2,547.00 "," ? 38,205.00 "," ? 33,352.84 "," ? 4,852.16 ",12.70
ORD1007,12-11-2024,Mouse,Electronics,North,18, ? 969.00 ," ? 17,442.00 "," ? 15,355.10 "," ? 2,086.90 ",11.96
ORD1008,09-09-2024,Headphones,Accessories,South,3," ? 1,795.00 "," ? 5,385.00 "," ? 4,442.60 ", ? 942.40 ,17.50
ORD1009,21-07-2025,Monitor,Electronics,North,11," ? 2,322.00 "," ? 25,542.00 "," ? 21,135.22 "," ? 4,406.78 ",17.25
ORD1010,05-11-2024,Keyboard,Accessories,West,17," ? 4,408.00 "," ? 74,936.00 "," ? 49,862.69 "," ? 25,073.31 ",33.46
ORD1011,27-01-2024,Printer,Electronics,Central,5, ? 521.00 ," ? 2,605.00 "," ? 2,078.88 ", ? 526.12 ,20.20
ORD1012,15-12-2024,Monitor,Accessories,South,11, ? 813.00 ," ? 8,943.00 "," ? 6,198.68 "," ? 2,744.32 ",30.69
ORD1013,08-12-2024,Keyboard,Electronics,South,9," ? 4,567.00 "," ? 41,103.00 "," ? 24,743.13 "," ? 16,359.87 ",39.80
ORD1014,08-12-2024,Keyboard,Electronics,South,6," ? 1,387.00 "," ? 8,322.00 "," ? 6,169.02 "," ? 2,152.98 ",25.87
ORD1015,15-12-2024,Mouse,Accessories,South,12," ? 1,755.00 "," ? 21,060.00 "," ? 14,292.92 "," ? 6,767.08 ",32.13
ORD1016,07-05-2024,Monitor,Accessories,North,17," ? 1,528.00 "," ? 25,976.00 "," ? 17,255.67 "," ? 8,720.33 ",33.57
ORD1017,23-09-2024,Laptop,Electronics,North,16," ? 4,559.00 "," ? 72,944.00 "," ? 61,636.18 "," ? 11,307.82 ",15.50
ORD1018,22-04-2024,Keyboard,Accessories,North,1," ? 4,693.00 "," ? 4,693.00 "," ? 4,095.34 ", ? 597.66 ,12.74
